                       ,Game,Company,Created By,Created,Company Domain,Channels,Notes (old),Contacted,Sales Material,Campaign Preview,SQL,SQL (+ Region),SQL (+Project Stage),SQL (Gaming),Score,ICP,Fundraising,Team,Wishlists,Publisher,Release Date,Game Currency,Currency Name,Webshop,Webshop URL,NFT,NFT Marketplace/Contract URL,Coin,ERC20 contract URL,Blockchain,Region,Uses competitor,Project Stage,Company Founded,Roadmap URL,Twitter Created,Twitter Followers,Discord Members,Game Domain,Youtube Video URL,Twitter Tweet URL,Discord Invite URL,Discord Server ID,Q1 - Type,Q1 - Points,Q1 - Title,Q1 - Description,Q2 - Type,Q2 - Points,Q2 - Title,Q2 - Description,Q3 - Type,Q3 - Points,Q3 - Title,Q3 - Description,Q4 - Type,Q4 - Points,Q4 - Title,Q4 - Description,Q5 - Type,Q5 - Points,Q5 - Title,Q5 - Description
Web3 Gaming,Rooniverse,xpfoundry,Phillip,6/22/2023,xpfoundry.com,Discord Ticket,,,Not needed,,Yes,No,No,No,5,Available,Raised funds,>10,,,,,,,,Using,https://magiceden.io/marketplace/jambo_mambo,Unknown,https://immutascan.io/address/0xba84f0cdcb2006dbbdce78a655be70b08b5dd75c,IMX,Asia,Unknown,Alpha,Nov 2021,https://docsend.com/view/9fbm4ctkfg9r6b6j,Aug 2021,7000,5700,https://www.xpfoundry.com/,N/A,https://twitter.com/playrooniverse/status/1576285541921800192,https://discord.com/invite/rooniverse,880202436944494654,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Phantom Galaxies,Blowfish Studios,Phillip,6/22/2023,blowfishstudios.com,Telegram or Discord DM,,,Complete,https://dashboard.thx.network/preview/657192e5d316eadb50f2a8a8,Yes,No,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/phantom-galaxies-origin-collection,Using,https://polygonscan.com/token/0xDfCe1e99A31C4597a3f8A8945cBfa9037655e335,Polygon,Unknown,Unknown,Beta,Jan 2009,https://phantomgalaxies.com/BFS_Phantom_Galaxies_Litepaper.pdf,Aug 2021,"104,000","53,000",https://phantomgalaxies.com,https://www.youtube.com/watch?v=jtNp1XLuNRk,https://twitter.com/the_phantom_g/status/1688411812306513920,https://discord.com/invite/PhantomGalaxies,881770626493333545,Daily,25,Pvp battler,kill 3 people in PVP,Custom,50,Complete Missions ,Complete 3 ingame missions,,,,,,,,,,,,
Web3 Gaming,Bionic Owls,Bionic Owls,Phillip,6/22/2023,bionicowls.io,Discord Ticket,Linkedin connected & Twitter DMed,,Not needed,,No,Yes,No,No,7,Available,Raising funds,>10,,,,,,,,Using,https://etherscan.io/address/0xa8fe27460095dce2b5871e509ea9f92f3fe179b0,Not using yet,,Ethereum,North America,Unknown,Alpha,Jan 2022,https://bionicowls.io/Bionic%20Owls%20WP.pdf,Oct 2021,20900,"5,500",https://bionicowls.io/,https://www.youtube.com/watch?v=gg9vhpUpTuc,https://twitter.com/BionicOwls/status/1680968178208321538,https://discord.com/invite/bionicowls,895306122016194591,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,DragonMaster,DragonMaster,Phillip,6/22/2023,dragonmastergames.com,Telegram or Discord DM,,,Complete,https://dashboard.thx.network/preview/64cca5ad7b548f86363d377b,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://dragonmaster.co/#/marketplace,Using,https://polygonscan.com/token/0x04F177FCacF6fB4d2F95d41d7D3fee8E565cA1d0,Polygon,Europe,Galxe,Post Launch,,https://whitepaper.dragonmaster.co/roadmap,Nov 2021,"45,200","33,900",https://www.dragonmaster.co/#/,https://www.youtube.com/watch?v=UGeL1dpgISA,https://twitter.com/dragonmaster_co/status/1684741934542401536,https://discord.com/invite/dragonmaster,879250438036275260,Custom,100,Buy a Dragon NFT,Points for buying an NFT on the marketplace,Daily,100,Win 12 matches,points for winning 12 matches in game,Custom,75,Invite a friend,Invite a friend and battle together,Custom,100,XL dragon,obtain an XL dragon in game,Custom,200,daily quester,Complete all in game daily quests
Web3 Gaming,The Nemots,The Nemots,Phillip,6/22/2023,thenemots.com,"CEO , CMO Email",DMed CMO on Linkedin,Contacted,Complete,https://dashboard.thx.network/preview/652e8f36591c8dfb5b17aab6,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/wildcard-early-access-tickets,Not using yet,,Polygon,North America,Unknown,Alpha,June 2021,https://thenemots.com/,July 2022,3500,10000,https://thenemots.com/,https://www.youtube.com/watch?v=LFSKLMIfVSc,https://twitter.com/TheNemots/status/1685937080353132544,https://discord.com/invite/thenemots,999687084254167040,Daily,75,Win 3 Insane mode pvp matches,Points for winning 3 wager matches,Custom,50,Created 3 decks,Create 3 decklists in game and play a match with each,Custom,100,Card crafter,fuse a set of cards into Nemots and take them into a match,Custom,250,Buy Nemots!,Buy cards or a repair pack/spellcharge from the marketplace,Custom,2.5,Upvote the project,Upvote the project on Coingecko or CMC
Web3 Gaming,Faraland,Moon Knight Labs,Prasanth,6/23/2023,moonknightlabs.com,Email CMO,Email CMO,,Complete,https://dashboard.thx.network/preview/649bac1f59f16d0fbce2599c,No,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://faraland.io/heroes,Using,https://bscscan.com/token/0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1,BNB,North America,Zealy,,,,,"129,000","17,500",https://faraland.io/,https://www.youtube.com/watch?v=uNNT6f6VGm0,https://twitter.com/faraland_io/status/1610487305181204481,https://discord.com/invite/faraland,852913786691649536,Custom,250,Buy a character from the marketplace,Buy a character from the marketplace,Custom,500,Rent out your account,Rent out your account,Custom,250,Finish a quest,finish a quest you grabbed from helga citadel,Custom,200,Win 20 battles,Win 20 battles,,,,
Web3 Gaming,Metaverse Miner,Metaverse Miner,Prasanth,6/23/2023,NOT FOUND,,closed,,Not needed,,No,No,No,No,3,Unknown,Unknown,Unknown,,,,,,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Grit,Gala Games,Prasanth,6/23/2023,NOT FOUND,DM Community Managers in Gala Discord,Getting aligned with sales topics if we are to have the followup call,,Complete,https://dashboard.thx.network/preview/64ca2fb5aefc41bb48e7abe0,No,Yes,No,No,4,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/playgrit,Unknown,,Ethereum,North America,Unknown,,,,,"2,300","6,100",https://app.gala.games/games/grit,https://www.youtube.com/watch?v=iAUsyelS2-s,N/A,https://discord.com/invite/kCwZquRJ9x,692403822265368626,Custom,125,Kill 5 players with a shotgun,Kill 5 players with a shotgun whilst on a train in trainchase gamemode,Custom,125,Ride the golden horse ,be the person riding the golden horse in this gamemode,Custom,500,Buy a battlepass,Buy a battlepass,Custom,250,Buy a gunslinger box,Buy a gunslinger box,,,,
Web3 Gaming,Xana,NOBORDERZ,Prasanth,6/23/2023,noborderz.com,DM CEO in Discord or Fill Form,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/xanaland,Using,https://snowtrace.io/token/0x31c994AC062C1970C086260Bc61babB708643fAc,AVAX,Asia,Unknown,,,,,"217,000","163,000",https://xana.net/,https://www.youtube.com/watch?v=v6q8CJKJe_c,https://twitter.com/XANAMetaverse/status/1688339172988268545,https://discord.com/invite/Xana,817771825160519700,Custom,250,Join Xana festival 5.0,we partnered with amazon music tokyo studio join the event with your own avatar and dance to the music,Custom,50,Win a game in NFT Duel,Win a game in NFT Duel,Custom,500,Claim your shot at XANA DIVA,give it your best shot girls at singing in Xana Diva,Social,50,Join our discord,Join the xana discord,,,,
Web3 Gaming,BurgerCities,BurgerCities,Prasanth,6/23/2023,burgercities.org,,closed,,Not needed,,No,No,No,No,10,Available,Raised funds,>10,,,,,,,,Unknown,,Unknown,,EVM chain,Unknown,Blockheads,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Metastrikers,Metastrikers,Prasanth,6/23/2023,NOT FOUND,"DM CEO , CMO in Discord",,,Not needed,,Yes,No,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://bcg.metastrikers.xyz/,Unknown,,Polygon,Unknown,Zealy,,,,,"17,900","14,200",https://metastrikers.xyz/,https://www.youtube.com/watch?v=wxA-QirxuH4,https://twitter.com/MetaStrikersGLB/status/1688339198414372864,https://discord.com/invite/zN7dGcp9dm,1078941452656193556,Custom,100,Create a MetaStrikers account,"Create a MetaStrikers account, and deposit $MATIC in your funding wallet",Custom,150,Buy NFTs,Send $MATIC from your funding wallet to your spending wallet and purchase at least 4 capsules to get 4 Striker NFTs on original marketplace.,Social,50,Retweet latest youtube video,Retweet latest youtube video,Social,50,Join the discord,Join Metastrikers discord,,,,
Web3 Gaming,Mage Wars,Mage Wars,Prasanth,6/23/2023,NOT FOUND,DM in TG,,,Not needed,,No,No,No,No,3,Available,No funds raised,Unknown,,,,,,,,Not using,,Unknown,,BNB,Unknown,Unknown,,,,,"1,134",,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Foragers and Fighters,Roboto Games,Phillip,6/24/2023,robotogames.com,,not web3 ATM,,Not needed,,No,No,No,No,9,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Unknown,North America,Unknown,Unknown,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Wildcard,Playful Studios,Phillip,6/24/2023,https://playfulstudios.com,"Email CEO , BD",,Contacted,Not needed,,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://magiceden.io/collections/polygon/wildpass,Not using yet,,Polygon,North America,Zealy,Alpha,Jan 2022,Not yet,Jan 2022,51100,"43,000",https://wildcardgame.com,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Mini Royale: Nations,Faraway,Phillip,6/24/2023,https://faraway.com,"Email CEO , BD",,,Not needed,,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/FarawayGames,Not using yet,,Polygon,North America,Unknown,Post Launch,July 2021,Not yet,July 2021,"102,000",53000,https://faraway.com/,N/A,https://twitter.com/farawaygg/status/1644005564685467649,https://discord.com/invite/faraway,552205789037854730,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,IMMORTAL: Gates of Pyre,SunSpear Games,Phillip,6/24/2023,sunspeargames.com,,Linkedin connected,,Not needed,,No,No,No,No,4,Available,Raised funds,>10,,,,,,,,Not using,,Not using,,Unknown,Unknown,Unknown,Alpha,,,March 2020,5216,4861,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Outer Ring,Maniac Panda Games,Phillip,6/24/2023,https://maniacpanda.com/,Google Form | Email BD,Linkedin connected,Contacted,Complete,https://dashboard.thx.network/preview/64c8d42401506efa24c1766a,Yes,Yes,No,No,7,Available,Raised funds,>10,,,,,,,,Using,https://dapp.outerringmmo.com/marketplace,Using,https://bscscan.com/token/0xF700D4c708C2be1463E355F337603183D20E0808,BNB,Europe,Unknown,Alpha,Jan 2019,https://outerringmmo.com/roadmap/,Aug 2020,"45,300","5,100",https://outerringmmo.com,https://www.youtube.com/watch?v=ahwG1wtIw8o,https://twitter.com/OuterRingMMO/status/1687047909806620672,https://discord.com/invite/outerringmmo,917039708679327794,Custom,125,Escaped Silver City ,Escape Silver City and kill all of the enemies during the quest,Custom,75,Play tester,Test the game in pre alpha,Custom,250,Lootbox aquired,Buy a tier 3 lootbox,Custom,75,Governer of outer ring,participate in an active governance proposal,Custom,125,Join a farm,Participate in staking to earn iron 
Web3 Gaming,Summoners Arena,Wildcard,Phillip,6/24/2023,https://www.wildcardgame.com/,Email,Discod gone. ,Contacted,Complete,https://dashboard.thx.network/preview/657b163aa55b5ec6f45c9668,Yes,No,No,No,6,Available,Raised funds,>10,,,,,,,,Using,https://app.summonersarena.io/,Using,https://bscscan.com/token/0x2ef776488739722Ad174F8f2ffE76eb67a8467Eb,BNB,Asia,Galxe,Post Launch,May 2021,https://www.wildcardgame.com/education,Oct 2021,65600,,https://www.wildcardgame.com,https://www.youtube.com/watch?v=z-eQhc9mS5c,https://twitter.com/PlayWildcard/status/1688349993038467072,https://discord.com/invite/playwildcard,914706780993519617,Daily,100,Mana Mastery Challenge,Win a game with only 1 cost minion cards,Custom,25,Friendly Rivals,Play a match with a friend,,,,,,,,,,,,
Web3 Gaming,Guild of Guardians,Guild of Guardians,Phillip,6/24/2023,guildofguardians.com,Email,,Contacted,Not needed,,Yes,Yes,No,No,9,Available,Raised funds,2-10,,,,,,,,Using,https://market.immutable.com/collections/0xee972ad3b8ac062de2e4d5e6ea4a37e36c849a11,Using,https://etherscan.io/token/0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,Unknown,Oceania,Unknown,Alpha,2020,https://cdn.discordapp.com/attachments/940612801968361523/1108976576823042120/GOG_Roadmap.webp,Oct 2020,"139,600","134,500",https://guildofguardians.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Treeverse,EndlessClouds,Phillip,6/24/2023,endlessclouds.xyz,Discord DM,No Alpha yet ( by Q4),,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/nftrees,Unknown,,Ethereum,Asia,Unknown,Alpha,2021,,Sept 2020,82100,17100,https://www.treeverse.net/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Koin Games,Koin Games,Phillip,6/24/2023,koingames.io,Discord Ticket. ,"Twitter Contacted, following up since convo died after the chit chat ended and sales discussion started. also sent kevin a linkedin invite which is still pending, I guess he is busy, so followed up on DMs hoping to get a reply soon.",Contacted,Not needed,,Yes,Yes,No,No,7,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/kgds,Unknown,,Ethereum,North America,Unknown,Alpha,Sept 2022,,May 2021,9835,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Moonfrost,Oxalis Games,Phillip,6/24/2023,https://www.oxalis.games/,Discord Ticket. ,Game release by 2023 end ,,Not needed,,No,No,No,No,7,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Unknown,Europe,Unknown,Alpha,Aug 2020,,Sept 2021,28000,7000,https://moonfrost.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Project Skies,Elodie Games,Phillip,6/24/2023,elodie.games,,Twitter silent since April,,Not needed,,No,No,No,No,3,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Unknown,North America,Unknown,Alpha,Jan 2020,,Feb 2020,3300,,https://elodiegames.typeform.com/projectskies,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,A16Z GAMES,A16Z GAMES,Phillip,6/24/2023,a2zgames.online,,"Venture Capital , Not Studio",,Not needed,,No,No,No,No,9,Unknown,Raised funds,>10,,,,,,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,World Eternal Online,Core Loop,Phillip,6/24/2023,https://coreloop.gg/,,,,Not needed,,No,No,No,No,9,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Unknown,Unknown,Zealy,Alpha,Sept 2020,,July 2020,18400,17400,https://www.worldeternalonline.com/download,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Swoops,Swoops,Phillip,6/24/2023,swoopsrch.com,ceo email,,,Not needed,,Yes,Yes,No,No,7,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/swoops,Using,https://etherscan.io/token/0xc211506d58861857c3158af449e832cc5e1e7e7b,Ethereum,North America,Unknown,Post Launch,Oct 2021,https://www.playswoops.com/,March 2022,10000,5300,https://app.playswoops.com/login,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Mokens League,Mokens League,Phillip,6/24/2023,mokensleague.com,email,,,Not needed,,Review,No,No,No,7,Available,Raised funds,>10,,,,,,,,Comming Soon,,Not using yet,,Polygon,Europe,Unknown,Beta,Oct 2021,https://discord.com/channels/420225923263102997/909885117231661087/1090663656901050439,Oct 2021,6296,1700,https://www.mokensleague.com/register-beta/?refer_code=mks_landing,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,The Harvest,Falco,Phillip,6/24/2023,https://falco.gg/,"Discord ticket , email",,,Not needed,,Yes,No,No,No,10,Available,Raised funds,>10,,,,,,,,Using,https://www.binance.com/en/nft/collection/oreejin-collection-611903822371184640?isBack=1,Not using yet,,EVM chain,South America,Zealy,Beta,April 2022,,March 2019,59300,36700,https://theharvestgame.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Road to Genesis,Oxya Origin,Phillip,6/24/2023,oxyaorigin.com,"Linkedin , Discord DM",,Contacted,Complete,https://dashboard.thx.network/preview/6549f4bbeaf06dabb66d29a3,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/oxyaoriginproject,Not using yet,,Ethereum,Europe,Zealy,Beta,May 2021,https://oxya-origin.gitbook.io/oxya-origin/asset-ecosystem/roadmap,Dec 2021,83000,200000,https://oxyaorigin.com,https://www.youtube.com/watch?v=zU2sUm8eUqw,https://twitter.com/OxyaOrigin/status/1721575703995453852,https://discord.com/invite/oxya-origin-917691417915162654,917691417915162654,Custom,100,Quick Conqueror,Defeat a boss,Daily,25,Last One Standing,Play a battle royale game mode,,,,,,,,,,,,
Web3 Gaming,Soulbound,Soulbound,Phillip,6/24/2023,soulbound.gg,,,,Not needed,,No,No,No,No,3,Unknown,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Unknown,North America,Unknown,Alpha,Jan 2022,,Sept 2021,3900,1300,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,STEPN,STEPN,Phillip,6/24/2023,https://stepn.com/,CMO Email,Sent out linkedin invites (Discord will be useless here),Contacted,Complete,https://dashboard.thx.network/preview/6549f4c2eaf06dabb66d29d6,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/stepn,Using,https://solana.fm/address/7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx?cluster=mainnet-qn1,SOL,Oceania,QuestN,Beta,Aug 2021,https://stepn.com/,Sept 2021,560000,10000,https://stepn.com,https://www.youtube.com/watch?v=ZmEq4LLxRnw,https://twitter.com/Stepnofficial/status/1719001290812825815,https://discord.com/invite/stepn,890163015561932840,Custom,100,Fast as a horse,Run a mile in under 8 minutes and 45 seconds,Daily,25,Run the World ,run 3kms ,,,,,,,,,,,,
Web3 Gaming,BinaryX,BinaryX,Prasanth,6/24/2023,binaryx.pro,DM Mod in TG or Open Ticket in Discord,,Contacted,Complete,https://dashboard.thx.network/preview/64ca2fbdaefc41bb48e7abfc,No,Yes,No,No,9,Available,Raised funds,Unknown,,,,,,,,Using,https://market.binaryx.pro/#/oneoffsale,Using,https://bscscan.com/token/0x5b1f874d0b0C5ee17a495CbB70AB8bf64107A3BD,BNB,North America,TaskOn,,,,,"204,300","131,206",https://www.binaryx.pro/en,https://www.youtube.com/watch?v=lnksdIUIq1E,https://twitter.com/binary_x/status/1665659736442785793,https://discord.com/invite/binaryx,905029894562521108,Custom,250,Complete a quest in Cyberland,Complete a quest in Cyberland,Daily,200,Play project Matthew,Assemble a crew and complete a match in project M,Social,50,Retweet an announcement ,Retweet an announcement,Referral,250,Refer a friend to play one of the games,Refer a friend to play one of the games,,,,
Web3 Gaming,StarryNift,StarryNift,Prasanth,6/24/2023,starrynift.art,Email or TG DM,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Using,https://opensea.io/collection/starrynift-bnb-chain,Unknown,,BNB,Asia,TaskOn,,,,,"171,000","117,000",https://starrynift.art/,https://www.youtube.com/watch?v=dq22SjUjl5w,https://twitter.com/StarryNift/status/1688391811210125312,https://discord.com/invite/HkdRZJcu6N,840622107007647744,Daily,50,Chill out in the Metaverse ,Play in the metaverse for 10 minutes and chat with friends,Custom,50,Mint a citizenship card,Mint a citizenship card,Daily,100,Join a co created community space,Join a co created community space,Referral,250,Refer another user ,Refer another user or friend to join a community created space with you in it,,,,
Web3 Gaming,The Beacon,Skillcap Studio,Prasanth,6/24/2023,NOT FOUND,Discord Ticket,,Contacted,Complete,https://dashboard.thx.network/preview/64ca2fc4aefc41bb48e7ac1a,Yes,Yes,No,No,9,Available,No funds raised,>10,,,,,,,,Using,https://app.treasure.lol/games/the-beacon,Unknown,,Arbitrum,North America,Unknown,,,,,"67,800","44,000",https://app.thebeacon.gg/,N/A,https://twitter.com/The_Beacon_GG/status/1682482054674493440,https://discord.com/invite/thebeacon,951421342392131584,Custom,250,Mint a founding character,Mint a founding character,Custom,100,List an item on the Trove marketplace,Points for listing an item on the trove marketplace,Daily,100,Complete a dungeon,Complete a dungeon,Social,100,Retweet an announcement,Retweet an announcement,,,,
Web3 Gaming,Treasure,Treasure,Prasanth,6/24/2023,treasureislandmedia.com,Discord Ticket,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Unknown,,Using,https://arbiscan.io/token/0x539bdE0d7Dbd336b79148AA742883198BBF60342,Arbitrum,Unknown,Unknown,,,,,"143,000","31,000",https://treasure.lol/,N/A,https://twitter.com/Treasure_DAO/status/1687539027640201216,https://discord.com/invite/treasuredao,882867268021800991,Daily,100,Play one of treasures partner games,Play one of treasures partner games,Daily,100,Earn some MAGIC ,Earn MAGIC by playing bridgeworld,Custom,250,Become a staked MAGIC holder,Stake your MAGIC,Custom,500,Participate in snapshot voting ,Participate in snapshot voting ,,,,
Web3 Gaming,Honor World,Honor World,Prasanth,6/24/2023,honorworld.io,Discord or TG DM,,,Not needed,,No,No,No,No,10,Available,No funds raised,Unknown,,,,,,,,Using,https://opensea.io/collection/honor-world-genesis-nft,Using,https://arbiscan.io/token/0xbcc9c1763d54427bdf5efb6e9eb9494e5a1fbabf,EVM chain,Unknown,TaskOn,,,,,"21,700","10,000",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Nine Chronicles,Planetarium Labs,Prasanth,6/24/2023,planetariumlabs.com,Email,,,Not needed,,No,No,No,No,9,Available,Raised funds,>10,,,,,,,,Not using,,Unknown,https://etherscan.io/token/0xf203Ca1769ca8e9e8FE1DA9D147DB68B6c919817,Ethereum,Asia,Unknown,,,,,"126,000","70,000",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,MetaSoccer,Champion Games,Prasanth,6/25/2023,championgames.com,DM Guhs in Discord,,Contacted,Complete,https://dashboard.thx.network/preview/64be30a42ac414538a33584b,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/metasoccer-youth-scouts,Using,https://polygonscan.com/token/0xe8377a076adabb3f9838afb77bee96eac101ffb1,Polygon,Europe,Unknown,,,,,"119,500","11,740",https://metasoccer.com/,,,,,Daily,100,Train your metasoccor character,Train your metasoccor character and get his stats up,Social,listen to interview ,Listen to one of the interviews on youtube with one of the players,,Social,100,Vote in a twitter poll,vote in our twitter poll ,Social,50,Join Metasoccor's Discord,Points for joining metasoccors discord,,,,
Web3 Gaming,CryptoBlades,Riveted Games,Prasanth,6/25/2023,rivetedtechnology.com,Email,,,Complete,https://dashboard.thx.network/preview/64ca365e2b2d46bb9f3bb921,No,Yes,No,No,9,Available,No funds raised,>10,,,,,,,,Using,https://bazaar.market/dashboard,Using,https://bscscan.com/address/0x154a9f9cbd3449ad22fdae23044319d6ef2a1fab,BNB,North America,Unknown,,,,,"174,000","70,610",https://www.cryptoblades.io/,https://www.youtube.com/watch?v=_317oWPYtRk,https://twitter.com/CryptoBlades/status/1683126591818194944,N/A,N/A,Custom,100,Buy Skill on Apeswap ,Buy Skill on apeswap using a crypto wallet,Custom,50,Buy a second weapon,Points for buying a second weapon,Custom,1000,Gas guzzler,Spend total of 200 dollars on gas playing this game,Referral,250,Refer a friend to play,Refer a friend to play and have him defeat all elements ,,,,
Web3 Gaming,X World Games,X World Games,Prasanth,6/25/2023,xwg.games,Form or Email,,,Not needed,,Yes,No,No,No,10,Available,Raised funds,>10,,,,,,,,Using,https://app.xwg.games/#/pages/market/market2.0,Using,https://bscscan.com/token/0x6b23c89196deb721e6fd9726e6c76e4810a464bc,EVM chain,Asia,TaskOn,,,,,"209,000","76,800",https://xwg.games/,N/A,https://twitter.com/xwg_games/status/1686031301407543296,https://discord.com/invite/xworldgames,807807756065046529,Daily,50,Play Dream Card,Rewards for playing Play Dream Card on your android device,Custom,250,Buy a dream card from marketplace,Points for buying a dream card from marketplace,Referral,100,Write a Twitter review ,Write a Twitter review about one of our games,Custom,500,Stake your NFT/Tokens,Points for staking your NFT/Tokens,,,,
Web3 Gaming,TOWER Ecosystem,Animoca Brands,Prasanth,6/25/2023,animocabrands.com,Email,,,Not needed,,Yes,No,No,No,12,Available,No funds raised,>10,,,,,,,,Using,https://opensea.io/TOWER-Token,Using,https://polygonscan.com/token/0x2bc07124d8dac638e290f401046ad584546bc47b,Polygon,Asia,Blockheads,,,,,"70,900","12,600",https://crazydefenseheroes.com/,N/A,https://twitter.com/TowerToken/status/1686205631202832384,https://discord.com/invite/MzKppSCKVu,485571994016809010,Custom,150,Complete a Co-op Battle ,Points for completing a Co-op Battle ,Daily,250,Claim rewards from Crazy Defense Heroes ,Own at least 1 TOWER Battle Card NFT or TOWER Ticket NFT to claim rewards from Crazy Defense Heroes,Social,250,Make a purchase from the $TOWER store ,250 points for making a purchase from the $TOWER store ,Social,50,Join Animoca brands Discord,Points for joining Animoca Brands discord,,,,
Web3 Gaming,PokeTowns,PokeTowns,Prasanth,6/25/2023,poketowns.com,,,,Not needed,,No,No,No,No,3,Unknown,No funds raised,Unknown,,,,,,,,Using,https://opensea.io/collection/poketown,Unknown,,BNB,Unknown,Unknown,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Karmaverse Zombie,Karmaverse,Prasanth,6/25/2023,karmaverse.io,Form or CMO Email,,Contacted,Not needed,https://dashboard.thx.network/preview/64be30972ac414538a33580d,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/karmaverse-zombie-fighter,Using,https://polygonscan.com/token/0x623a1350f6B749575F92Ea54D0F745f9F07D3665,Polygon,Europe,TaskOn,,,,,"90,000","49,000",https://karmaverse.io/karmaversezombie,,,,,Custom,100,Asign a fighter to collect food,Asign one your fighters to farm and collect food,Custom,200,Complete a raid ,Rewards for completing a raid against another player in PVP season ,Referral,50,Refer a user succesfully and have them play the game,Refer a user and participate in our xxx$ giveaway and bonus xx$ for each user,Social,50,Retweet our referal campaign,points for retweeting our referral campaign,,,,
Web3 Gaming,DeHeroGame,MIXMARVEL,Prasanth,6/25/2023,mixmarvel.com,Email,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/dehero-card,Using,https://bscscan.com/token/0x261510Dd6257494eEA1DDA7618DBe8a7b87870dd,BNB,Asia,TaskOn,,,,,"25,600","18,800",https://www.dehero.co/,N/A,https://twitter.com/DeHero_official/status/1688448777328209920,https://discord.com/invite/dehero-official,789075464396210227,Custom,250,Buy a Dehero Card from Opensea,Buy a Dehero Card from Opensea,Custom,500,Stake coin RPG,rewards for staking your coins providing liquidity in the LP mining pool,Social,50,Retweet announcement,retweet a twitter announcment ,Daily,50,Play a game ,Play a game after buying an NFT card,,,,
